source,target,edge
Structure of fovea centralis,flame-shaped hemorrhage of central aspect of macula of left eye,finding site of
Structure of fovea centralis,flame-shaped hemorrhage of central aspect of macula of right eye,finding site of
Structure of fovea centralis,dot-blot hemorrhage of central aspect of macula of left eye,finding site of
Structure of fovea centralis,hard soapy exudates of central aspect of macula of left eye,finding site of
Structure of fovea centralis,cotton wool spots of central macula of right eye,finding site of
Structure of fovea centralis,hard soapy exudates of central aspect of macula of right eye,finding site of
Structure of fovea centralis,cotton wool spots of central macula of left eye,finding site of
Structure of fovea centralis,Roth's spots of central aspect of macula of left eye,finding site of
Structure of fovea centralis,Roth's spots of central aspect of macula of right eye,finding site of
Structure of fovea centralis,chorioretinal scar of central aspect of macula of left eye,finding site of
Structure of fovea centralis,chorioretinal scar of central aspect of macula of right eye,finding site of
Structure of fovea centralis,chorioretinitis of central aspect of macula of left eye,finding site of
Structure of fovea centralis,chorioretinitis of central aspect of macula of right eye,finding site of
Structure of fovea centralis,macular choroidal rupture of central aspect of left eye,finding site of
Structure of fovea centralis,macular choroidal rupture of central aspect of right eye,finding site of
Structure of fovea centralis,Congenital hypoplasia of fovea centralis,finding site of
Structure of fovea centralis,traction detachment of central aspect of macula of left eye,finding site of
Structure of fovea centralis,traction detachment of central aspect of macula of right eye,finding site of
Structure of fovea centralis,Isolated foveal hypoplasia,finding site of
Structure of fovea centralis,Impending macular hole,finding site of
Structure of fovea centralis,Absent foveal reflex,finding site of
Structure of fovea centralis,Entire fovea centralis,has entire anatomy structure
Structure of fovea centralis,Superimposition,finding site of
Structure of fovea centralis,Myopic foveoschisis,finding site of
Structure of fovea centralis,Myopic foveoschisis,finding site of
Structure of retinal artery,septic embolus of retina or choroid,finding site of
Structure of retinal artery,retinal arterial embolus of both eyes,finding site of
Structure of retinal artery,Rouleaux formation in retinal artery,finding site of
Structure of retinal artery,Segmental retinal periarteritis,finding site of
Structure of retinal artery,Platelet-fibrin retinal embolus,finding site of
Structure of retinal artery,Retinal embolus,finding site of
Structure of retinal artery,Calcific retinal embolus,finding site of
Structure of retinal artery,Cholesterol retinal embolus,finding site of
Structure of retinal artery,Entire retinal artery,has entire anatomy structure
Structure of central retinal artery,Entire central retinal artery,has entire anatomy structure
Structure of retinal artery,Retinal artery appearance - finding,finding site of
Structure of retinal artery,Retinal arteriovenous nicking,finding site of
Central retinal artery,Middle macular artery,has branch
Central retinal artery,Middle macular artery,has branch
Central retinal artery,Inferior central retinal artery,has branch
Central retinal artery,Inferior central retinal artery,has branch
Central retinal artery,Superior central retinal artery,has branch
Central retinal artery,Inferior central retinal artery,has branch
Central retinal artery,Middle macular artery,has branch
Central retinal artery,Superior central retinal artery,has branch
Central retinal artery,Superior central retinal artery,has branch
Structure of retinal artery,Cilioretinal artery sparing,finding site of
Structure of retinal artery,Retinal artery finding,finding site of
Structure of retinal artery,Retinal arteries copperwire,finding site of
Structure of retinal artery,Retinal arteries silverwire,finding site of
Structure of retinal artery,Retinal arteries sheathed,finding site of
Structure of retinal artery,Retinal arteries attenuated,finding site of
Structure of retinal artery,Retinal arteries irregular,finding site of
Structure of retinal artery,Distension of vein beyond arteriovenous crossing,finding site of
Structure of retinal artery,Arteriovenous crossing changes,finding site of
Structure of retinal artery,Retinal arterial tortuosity,finding site of
Structure of retinal artery,Retinal macroaneurysm,finding site of
Structure of retinal artery,Retinal artery spasm,finding site of
Structure of central retinal artery,Central retinal artery occlusion,finding site of
Structure of retinal artery,Congenital stricture of retinal artery,finding site of
Structure of retinal artery,Arteriosclerotic retinopathy,finding site of
Structure of retinal artery,Retinal arteritis,finding site of
Structure of retinal artery,Retinal endarteritis,finding site of
Structure of retinal artery,Congenital retinal aneurysm,finding site of
Structure of retinal artery,Thrombosis of retinal artery,finding site of
Central retinal artery,Inferior macular artery,has branch
Central retinal artery,Superior macular artery,has branch
Central retinal artery,Superior macular artery,has branch
Central retinal artery,Inferior macular artery,has branch
Central retinal artery,Inferior macular artery,has branch
Central retinal artery,Superior macular artery,has branch
Structure of retinal artery,Microaneurysm of retinal artery,finding site of
Structure of retinal artery,Partial retinal artery occlusion,finding site of
Structure of retinal artery,Transient arterial retinal occlusion,finding site of
Central retinal artery,Ophthalmic artery,branch of
Central retinal artery,Ophthalmic artery,branch of
Central retinal artery,Ophthalmic artery,branch of
Structure of retinal artery,Retinal artery occlusion,finding site of
Structure of retinal artery,Familial isolated retinal arterial tortuosity,finding site of
Structure of retinal artery,Combined occlusion by thrombus of retinal artery and retinal vein,finding site of
Corneal structure,Bullous aphakic keratopathy following cataract surgery,finding site of
Corneal structure,Amyloid of cornea,finding site of
Corneal structure,Herpes simplex infection of cornea after ophthalmic surgery,finding site of
Corneal structure,Disorder of cornea associated with contact lens,finding site of
Corneal structure,Alkaline chemical burn of cornea,finding site of
Corneal structure,Tissue specimen from donor corneal rim,specimen source topography of
Corneal structure,Acid chemical burn of cornea,finding site of
Corneal structure,Subepithelial mucinous corneal dystrophy,finding site of
Corneal structure,disruption of external operation wound of cornea,finding site of
Corneal structure,dehiscence of wound of cornea,finding site of
Corneal structure,wound dehiscence of cornea of left eye,finding site of
Corneal structure,corneal wound dehiscence with uveal prolapse,finding site of
Corneal structure,dehiscence of wound of cornea of right eye,finding site of
Corneal structure,Stitch abscess of cornea,finding site of
Corneal structure,Unstable keratoconus,finding site of
Corneal structure,Herpes simplex keratitis,finding site of
Corneal structure,Corneal haze caused by herpes simplex,finding site of
Corneal structure,Mycobacterial keratitis,finding site of
Corneal structure,Dry cornea,finding site of
Corneal structure,wound of cornea,finding site of
Corneal structure,Congenital corneal dystrophy,finding site of
Corneal structure,Ring dermoid of cornea,finding site of
Corneal structure,Combined corneal dystrophy,finding site of
Corneal structure,Corneal leukoma,finding site of
Corneal structure,Corneal leukoma,finding site of
Corneal structure,Marginal corneal infiltrate,finding site of
Corneal structure,Fleisher ring,finding site of
Corneal structure,Corneoscleral laceration,finding site of
Corneal structure,Penetrating keratoplasty graft in place,finding site of
Corneal structure,Corneal haze caused by herpes zoster,finding site of
Corneal structure,Herpes zoster subepithelial infiltrates,finding site of
Corneal structure,Herpes zoster subepithelial infiltrates,finding site of
Corneal structure,Corneal suture in place,finding site of
Corneal structure,Corneal hypoxia,finding site of
Corneal structure,Clear corneal incision,finding site of
Corneal structure,Rizzutti sign,finding site of
Corneal structure,Herpes simplex subepithelial infiltrates,finding site of
Corneal structure,Herpes simplex subepithelial infiltrates,finding site of
Corneal structure,High tear meniscus,finding site of
Corneal structure,Corneal wound burn,finding site of
Corneal structure,Factitious keratitis,finding site of
Corneal structure,Anterior crocodile shagreen of cornea,finding site of
Corneal structure,Corneal endothelial graft in place,finding site of
Corneal structure,Low tear meniscus,finding site of
Corneal structure,Ophthalmomandibulomelic dysplasia,finding site of
Corneal structure,Autosomal dominant keratitis,finding site of
Corneal structure,Keratitis fugax hereditaria,finding site of
Corneal structure,Central topographic island,finding site of
Corneal structure,Decentered corneal stromal ablation,finding site of
Corneal structure,Corneal ectasia due to and following laser in situ keratomileusis,finding site of
Corneal structure,Corneal flap fold,finding site of
Corneal structure,Corneal shape finding,finding site of
Corneal structure,Corneal warpage,finding site of
Corneal structure,Corneal sensation normal,finding site of
Corneal structure,Corneal incision leaking,finding site of
Corneal structure,Oblate cornea,finding site of
Corneal structure,Corneal graft finding,finding site of
Corneal structure,Dry eye after laser in situ keratomileusis,finding site of
Corneal structure,Corneal incision intact,finding site of
Corneal structure,Prolate cornea,finding site of
Corneal structure,X-linked corneal dermoid,finding site of
Corneal structure,Intrauterine keratitis,finding site of
Corneal structure,Congenital corneal keloid,finding site of
Corneal structure,Epithelial recurrent erosion dystrophy,finding site of
Corneal structure,Diffuse lamellar keratitis,finding site of
Corneal structure,Mucin tear layer,finding site of
Corneal structure,Lipid tear layer,finding site of
Corneal structure,Aqueous tear layer,finding site of
Corneal structure,Vaccinia keratitis,finding site of
Corneal structure,Microsporidia keratitis,finding site of
Corneal structure,Corneal lipid deposit,finding site of
Corneal structure,Corneal iron deposits,finding site of
Corneal structure,Xerosis of cornea,finding site of
Corneal structure,Corneal intraepithelial neoplasia,finding site of
Corneal structure,Specimen from cornea,specimen source topography of
Corneal structure,Tissue specimen from cornea,specimen source topography of
Corneal structure,Lyme keratitis,finding site of
Corneal structure,Finding of tear meniscus,finding site of
Corneal structure,Herpes simplex keratouveitis,finding site of
Corneal structure,Herpes zoster keratitis,finding site of
Corneal structure,Decreased tear film break-up time,finding site of
Corneal structure,Entire cornea,has entire anatomy structure
Corneal structure,Corneal facet,finding site of
Corneal structure,Corneal facet,finding site of
Corneal structure,Keratouveitis,finding site of
Corneal structure,Chrysiasis of cornea,finding site of
Corneal structure,Corneal plaque,finding site of
Corneal structure,Chemical keratitis,finding site of
Corneal structure,Chemical keratitis,finding site of
Corneal structure,Old keratitis,finding site of
Corneal structure,Contact lens related corneal infiltrate,finding site of
Corneal structure,Healthy corneal graft,finding site of
Corneal structure,Sterile keratitis,finding site of
Corneal structure,Contact lens related sterile keratitis,finding site of
Corneal structure,Rheumatoid melting disorder of cornea,finding site of
Corneal structure,Corneal melting disorder,finding site of
Corneal structure,Corneal exposure,finding site of
Corneal structure,Corneal reflex finding,finding site of
Corneal structure,Fungal keratitis,finding site of
Corneal structure,AGel amyloidosis,finding site of
Corneal structure,Bacterial keratitis,finding site of
Corneal structure,Corneal decompensation,finding site of
Corneal structure,Flash burn of eye,finding site of
Corneal structure,Infiltrate of cornea,finding site of
Corneal structure,disorders of sclera and cornea in diseases classified elsewhere,finding site of
Corneal structure,Corneal infection,finding site of
Corneal structure,Corneal reflex brisk,finding site of
Corneal structure,Corneal reflex normal,finding site of
Corneal structure,Corneal reflex delayed,finding site of
Corneal structure,Disorder of cornea,finding site of
Corneal structure,Hereditary corneal dystrophy,finding site of
Corneal structure,Corneal dystrophy,finding site of
Corneal structure,Corneal edema,finding site of
Corneal structure,Corneal opacity,finding site of
Corneal structure,Corneal subepithelial haze,finding site of
Corneal structure,Corneal ulcer,finding site of
Corneal structure,Rosacea keratitis,finding site of
Corneal structure,Peripheral pterygium,finding site of
Corneal structure,Blister to cornea,finding site of
Corneal structure,Splinter in cornea,finding site of
Corneal structure,Burn to cornea - blister,finding site of
Corneal structure,Burn to cornea - full thickness,finding site of
Corneal structure,Focal anterior synechiae of iris,finding site of
Corneal structure,Corneal laceration,finding site of
Corneal structure,Epithelial inclusion cyst of cornea,finding site of
Corneal structure,Corneal non-healing epithelial ulcer,finding site of
Corneal structure,Corneal fibrosis,finding site of
Corneal structure,Necrotizing keratitis,finding site of
Corneal structure,Granulomatous keratitis,finding site of
Corneal structure,Corneal sequestrum,finding site of
Corneal structure,Eosinophilic keratitis,finding site of
Corneal structure,Corneal scraping specimen,specimen source topography of
Corneal structure,Stocker's line,finding site of
Corneal structure,Tear film finding,finding site of
Corneal structure,Corneal finding,finding site of
Corneal structure,Corneal pigmentation,finding site of
Corneal structure,Corneal nerves thickened,finding site of
Corneal structure,Corneal nerves inflamed,finding site of
Corneal structure,Corneal nerve finding,finding site of
Corneal structure,Corneal immune ring,finding site of
Corneal structure,Ferry's line,finding site of
Corneal structure,Fine corneal edema,finding site of
Corneal structure,Corneal edema caused by wearing of contact lenses,finding site of
Corneal structure,Burn of cornea and conjunctival sac,finding site of
Corneal structure,Corneal scar,finding site of
Corneal structure,Fish-eye disease,finding site of
Corneal structure,Corneal erosion,finding site of
Corneal structure,Corneal reflex absent,finding site of
Corneal structure,Dendritic ulcer,finding site of
Corneal structure,Corneal size and shape anomalies,finding site of
Corneal structure,Embryotoxon,finding site of
Corneal structure,Cornea plana,finding site of
Corneal structure,Congenital keratoglobus,finding site of
Corneal structure,Congenital sclerocornea,finding site of
Corneal structure,Congenital corneal opacity,finding site of
Corneal structure,Congenital anterior staphyloma,finding site of
Corneal structure,Congenital anterior staphyloma,finding site of
Corneal structure,Central opacity of cornea,finding site of
Corneal structure,Dermoid cyst of cornea,finding site of
Corneal structure,Nevus of cornea,finding site of
Corneal structure,Kaposi's sarcoma of cornea,finding site of
Corneal structure,Perforating corneoscleral wound,finding site of
Corneal structure,Congenital structural abnormality of cornea,finding site of
Corneal structure,Infective corneal ulcer,finding site of
Corneal structure,Bacterial corneal ulcer,finding site of
Corneal structure,Protozoal corneal ulcer,finding site of
Corneal structure,Inflammatory corneal ulcer,finding site of
Corneal structure,Ulcerative keratitis,finding site of
Corneal structure,Inflammatory corneal ulcer,finding site of
Corneal structure,Dystrophic corneal ulcer,finding site of
Corneal structure,Neuropathic corneal ulcer,finding site of
Corneal structure,Neuropathic corneal ulcer,finding site of
Corneal structure,Keratitis due to tuberculosis,finding site of
Corneal structure,Keratitis due to syphilis,finding site of
Corneal structure,Lipid keratopathy,finding site of
Corneal structure,Stromal pigmentation,finding site of
Corneal structure,Superficial corneal vascularization,finding site of
Corneal structure,Blood pigmentation of cornea,finding site of
Corneal structure,Melanin pigmentation of cornea,finding site of
Corneal structure,Bloodstaining of cornea,finding site of
Corneal structure,Corneal hemorrhage,finding site of
Corneal structure,Siderosis of cornea,finding site of
Corneal structure,Metallic pigmentation of cornea,finding site of
Corneal structure,Pseudophakic corneal edema,finding site of
Corneal structure,Phakic corneal edema,finding site of
Corneal structure,Fatty degeneration of cornea,finding site of
Corneal structure,Aphakic corneal edema,finding site of
Corneal structure,Crocodile shagreen of cornea,finding site of
Corneal structure,Acute hydrops keratoconus,finding site of
Corneal structure,Acute hydrops keratoconus,finding site of
Corneal structure,Pellucid marginal corneal degeneration,finding site of
Corneal structure,Injury of cornea,finding site of
Corneal structure,Acquired keratoglobus,finding site of
Corneal structure,Concussional injury of cornea,finding site of
Corneal structure,Nonperforating wound of cornea,finding site of
Corneal structure,Perforation of cornea,finding site of
Corneal structure,Corneal rust ring,finding site of
Corneal structure,Welders' keratitis,finding site of
Corneal structure,Thermal and radiation injury of cornea,finding site of
Corneal structure,Thermal and radiation injury of cornea,finding site of
Corneal structure,Neurotrophic keratitis,finding site of
Corneal structure,Labrador keratopathy,finding site of
Corneal structure,Chemical injury to cornea,finding site of
Corneal structure,Irregular astigmatism - corneal,finding site of
Corneal structure,Regular astigmatism - corneal,finding site of
Corneal structure,Stellate keratitis,finding site of
Corneal structure,Areolar keratitis,finding site of
Corneal structure,Nummular keratitis,finding site of
Corneal structure,Serpiginous ulcer,finding site of
Corneal structure,Striate keratitis,finding site of
Corneal structure,Keratitis bullosa,finding site of
Corneal structure,Keratitis bullosa,finding site of
Corneal structure,Snow blindness,finding site of
Corneal structure,Keratitis in exanthema,finding site of
Corneal structure,Corneal nebula,finding site of
Corneal structure,Xerotic keratitis,finding site of
Corneal structure,Adherent leukoma,finding site of
Corneal structure,Stahli's line,finding site of
Corneal structure,Adherent leukoma,finding site of
Corneal structure,Calcareous degeneration of cornea,finding site of
Corneal structure,Corneal deposit associated with metabolic disorder,finding site of
Corneal structure,Hassall-Henle bodies,finding site of
Corneal structure,Discrete colliquative keratopathy,finding site of
Corneal structure,Ring-like corneal dystrophy,finding site of
Corneal structure,Corneal anesthesia,finding site of
Corneal structure,Corneal hypoesthesia,finding site of
Corneal structure,Congenital keratoconus,finding site of
Corneal structure,Congenital keratoconus posticus circumscriptus,finding site of
Corneal structure,Microcornea,finding site of
Corneal structure,Superficial laceration of cornea,finding site of
Corneal structure,Mechanical complication due to corneal graft,finding site of
Corneal structure,Isolated corneal amyloidosis,finding site of
Corneal structure,Corneal burn,finding site of
Corneal structure,Measles keratitis,finding site of
Corneal structure,Mycotic keratitis caused by Fusarium solani,finding site of
Corneal structure,Mycotic keratitis caused by Fusarium,finding site of
Corneal structure,Mycotic keratitis caused by Fusarium oxysporum,finding site of
Corneal structure,Abnormal corneal reflex,finding site of
Corneal structure,Ring corneal ulcer,finding site of
Corneal structure,Mycotic corneal ulcer,finding site of
Corneal structure,Hypopyon ulcer,finding site of
Corneal structure,Macular keratitis,finding site of
Corneal structure,Filamentary keratitis,finding site of
Corneal structure,Photokeratitis,finding site of
Corneal structure,Sclerosing keratitis,finding site of
Corneal structure,Sclerokeratitis,finding site of
Corneal structure,Corneal abscess,finding site of
Corneal structure,Localized vascularization of cornea,finding site of
Corneal structure,Corneal pannus,finding site of
Corneal structure,Corneal pannus,finding site of
Corneal structure,Deep vascularization of cornea,finding site of
Corneal structure,Corneal ghost vessels,finding site of
Corneal structure,Corneal scars and opacities,finding site of
Corneal structure,Corneal scars and opacities,finding site of
Corneal structure,Minor opacity of cornea,finding site of
Corneal structure,Phthisical cornea,finding site of
Corneal structure,Argentous corneal deposit,finding site of
Corneal structure,Idiopathic corneal edema,finding site of
Corneal structure,Secondary corneal edema,finding site of
Corneal structure,Bullous keratopathy,finding site of
Corneal structure,Corneal degeneration,finding site of
Corneal structure,Recurrent erosion of cornea,finding site of
Corneal structure,Nodular degeneration of cornea,finding site of
Corneal structure,"Keratoconus, stable condition",finding site of
Corneal structure,Corneal ectasia,finding site of
Corneal structure,Corneal deformity,finding site of
Corneal structure,"Peripheral pterygium, stationary",finding site of
Corneal structure,"Peripheral pterygium, progressive",finding site of
Corneal structure,Central pterygium,finding site of
Corneal structure,Double pterygium,finding site of
Corneal structure,Recurrent pterygium,finding site of
Corneal structure,Pseudopterygium,finding site of
Corneal structure,Anterior synechiae,finding site of
Corneal structure,Corneal staphyloma,finding site of
Corneal structure,Corneal staphyloma,finding site of
Corneal structure,Keratomalacia,finding site of
Corneal structure,Oculoglandular tularemia,finding site of
Corneal structure,Corneal foreign body,finding site of
Corneal structure,Alkaline chemical burn of cornea and conjunctival sac,finding site of
Corneal structure,Acid chemical burn of cornea and conjunctival sac,finding site of
Corneal structure,Gonococcal keratitis,finding site of
Surgical Margin,Not Reported,has pcdc gct authorized value
Surgical Margin,Not Reported,has pcdc ews authorized value
Surgical Margin,Not Reported,has pcdc os authorized value
Surgical Margin,Code,has pcdc data type
Surgical Margin,Unknown,has pcdc os authorized value
Surgical Margin,Unknown,has pcdc ews authorized value
Surgical Margin,Unknown,has pcdc gct authorized value
Surgical margins,Surgical margin,replaced by
Unspecified peripheral retinal degeneration,Peripheral retinal degeneration,was a
"Peripheral retinal degeneration, unspecified",Retinal detachments; defects; vascular occlusion; and retinopathy,classified as
Peripheral retinal degeneration,Peripheral retina,has finding site
"Peripheral retinal degeneration, unspecified",Other retinal disorders,classified as
peripheral retinal degeneration,ophthalmologic,associated with
Peripheral retinal degenerations,Retinal degeneration,classified as
"Peripheral retinal degeneration, unspecified",Retinal degeneration,classified as
Degenerazioni retiniche periferiche,Degenerazione retinica,classified as
"Degenerazione periferica della retina, non specificata",Degenerazione retinica,classified as
perifere retinadegeneraties,retinadegeneratie,classified as
niet-gespecificeerde perifere retina degeneratie,retinadegeneratie,classified as
"Periphere Netzhautdegeneration, nicht spezifiziert",Netzhautdegeneration,classified as
periphere Netzhautdegenerationen,Netzhautdegeneration,classified as
peripheral retinal degeneration,retina disorder,associated with
peripheral retinal degeneration,retinopathy,associated with
Synnervsinflammation,Bilateral optisk neurit,classifies
Optikus neuritis,Bilateralis opticus neuritis,classifies
Optic neuritis,Bilateral optic neuritis,classifies
neuritis optica,bilaterale opticus neuritis,classifies
Optikusneuritis,Beidseitige Optikusneuritis,classifies
Neurite ottica,Neurite ottica bilaterale,classifies
Optikus neuritis,Opticoneuroretinitis,classifies
Synnervsinflammation,Optikusneuroretinit,classifies
Optikusneuritis,Optikusneuroretinitis,classifies
Neurite ottica,Neuroretinite ottica,classifies
Optinis neuritas,Optinis neuroretinitas,classifies
neuritis optica,opticusneuroretinitis,classifies
Optic neuritis,Opticoneuroretinitis,classifies
"Optic neuritis, unspecified",Inflammation; infection of eye (except that caused by tuberculosis or sexually transmitted disease),classified as
Neurite ottica,Neurite bulbare,classifies
Optikusneuritis,Neuritis optica bulbaris,classifies
Optic neuritis,Neuritis bulbar,classifies
Optikus neuritis,Neuritis bulbaris,classifies
neuritis optica,neuritis bulbair,classifies
Optinis neuritas,Bulbarinis neuritas,classifies
Optic neuritis,Retrobulbar neuritis (acute),classifies
Neurite ottica,Neurite retrobulbare (acuta),classifies
Optikus neuritis,Retrobulbaris neuritis (acut),classifies
neuritis optica,retrobulbaire neuritis (acuut),classifies
Optikusneuritis,Retrobulbaere Neuritis (akut),classifies
optic neuritis,ophthalmologic,associated with
Optikusneuritis,Neuroretinitis,classifies
neuritis optica,neuroretinitis,classifies
Neurite ottica,Neuroretinite,classifies
Optic neuritis,Neuroretinitis,classifies
Optikus neuritis,Neuroretinitis,classifies
Synnervsinflammation,Neuroretinit,classifies
Optinis neuritas,Neuroretinitas,classifies
Optic neuritis,Retrobulbar neuritis,classifies
Optic neuritis,Retro-bulbar neuritis,classifies
Optikus neuritis,Retrobulbaris optikus neuritis,classifies
Optic neuritis,Optic neuritis retrobulbar,classifies
Neurite ottica,Neurite ottica retrobulbare,classifies
Optic neuritis,Neuritis retrobulbar,classifies
Optikusneuritis,Neuritis optica retrobulbaris,classifies
Neurite ottica,Neurite retrobulbare,classifies
neuritis optica,retrobulbaire neuritis,classifies
neuritis optica,neuritis retrobulbair,classifies
Optikusneuritis,Neuritis optica retrobulbaris,classifies
Neurite ottica,Neurite retrobulbare,classifies
Neurite ottica,Neurite retrobulbare,classifies
Optikus neuritis,Retro-bulbaris neuritis,classifies
neuritis optica,neuritis retrobulbaris,classifies
neuritis optica,retrobulbaire neuritis,classifies
Optikus neuritis,Retrobulbaris neuritis,classifies
Optikus neuritis,"Neuritis, retrobulbaris",classifies
Optikusneuritis,Retrobulbaere Neuritis,classifies
Optikusneuritis,Retrobulbaere Neuritis,classifies
Optinis neuritas,"Optinis neuritas ""retrobulbar""",classifies
Optinis neuritas,Retrobulbarinis neuritas,classifies
Optinis neuritas,"""Retrobulbar"" neuritas",classifies
Optinis neuritas,Retrobulbarinis neuritas,classifies
optic neuritis,optic nerve disorder,associated with
Neurite ottica,Neurite ottica,classified as
"Neurite ottica, non specificata",Neurite ottica,classified as
Neurite ottica,Neurite ottica,classified as
Opticus neuritis,Optikus neuritis,classified as
Optikus neuritis k.m.n.,Optikus neuritis,classified as
Optikus neuritis,Optikus neuritis,classified as
Optic neuritis,Optic neuritis,classifies
Optic neuritis,Neuritis optic,classifies
Optikusneuritis,Optikusneuritis,classifies
Optikus neuritis,Optikus neuritis k.m.n.,classifies
Optikus neuritis,Opticus neuritis,classifies
Optikus neuritis,Optikus neuritis,classifies
Optikusneuritis,"Optikusneuritis, nicht spezifiziert",classifies
Optic neuritis,"Optic neuritis, unspecified",classifies
neuritis optica,neuritis optica,classifies
Neurite ottica,Neurite ottica,classifies
Neurite ottica,Neurite ottica,classifies
neuritis optica,neuritis optica,classifies
"neuritis optica, niet-gespecificeerd",neuritis optica,classified as
Optikusneuritis,Optikusneuritis,classifies
Optic neuritis,Optic neuritis,classified as
Neurite ottica,"Neurite ottica, non specificata",classifies
Neuritis optic,Optic neuritis,classified as
"Optic neuritis, unspecified",Optic neuritis,classified as
neuritis optica,neuritis optica,classified as
Unspecified optic neuritis,Optic neuritis,was a
neuritis optica,neuritis optica,classified as
Synnervsinflammation,Synnervsinflammation,classified as
Synnervsinflammation,Synnervsinflammation UNS,classifies
Optisk neurit,Synnervsinflammation,classified as
"Optisk neurit, ospecificerad",Synnervsinflammation,classified as
Synnervsinflammation UNS,Synnervsinflammation,classified as
Synnervsinflammation,Optisk neurit,classifies
Synnervsinflammation,"Optisk neurit, ospecificerad",classifies
Synnervsinflammation,Synnervsinflammation,classifies
neuritis optica,"neuritis optica, niet-gespecificeerd",classifies
Optinis neuritas,Neuritas optinis,classifies
"Optinis neuritas, nepatikslintas",Optinis neuritas,classified as
Optinis neuritas,Optinis neuritas,classified as
Optinis neuritas,"Optinis neuritas, nepatikslintas",classifies
Optinis neuritas,Optinis neuritas,classifies
Neuritas optinis,Optinis neuritas,classified as
"Optinis neuritas, kitaip nenurodyta",Optinis neuritas,classified as
Optinis neuritas,"Optinis neuritas, kitaip nenurodyta",classifies
Optikusneuritis,Optikusneuritis,classified as
Optikusneuritis,Optikusneuritis,classified as
"Optikusneuritis, nicht spezifiziert",Optikusneuritis,classified as
Optic neuritis,Other optic neuritis,classifies
Optikusneuritis,sonstige Optikusneuritis,classifies
neuritis optica,andere opticus neuritis,classifies
Neurite ottica,Altre neuriti ottiche,classifies
Synnervsinflammation,Annan synnervsinflammation,classifies
Optinis neuritas,Kitas optinis neuritas,classifies
Optic neuritis,Optic disc inflammation,classifies
Optic neuritis,Papillitis optic,classifies
Optic neuritis,Optic papillitis,classifies
Optikusneuritis,Optikuspapillitis,classifies
Neurite ottica,Papillite ottica,classifies
Neurite ottica,Papillite ottica,classifies
Optikusneuritis,Optikuspapillitis,classifies
Optikusneuritis,Entzuendung der Papille,classifies
Neurite ottica,Infiammazione del disco ottico,classifies
neuritis optica,neuritis optica,classifies
neuritis optica,oogzenuwontsteking,classifies
neuritis optica,blinde vlek ontsteking,classifies
Synnervsinflammation,Optisk papillit,classifies
Synnervsinflammation,Optisk papillit,classifies
Synnervsinflammation,Inflammation i synnervspapill,classifies
Optinis neuritas,Optinis papilitas,classifies
Unspecified optic neuritis,Neuro-ophthalmology,classified as
Optic neuritis,History of optic neuritis,associated finding of
Diabetes,Hyperglycemia,related to
Diabetes,Hypoglycemia,related to
Diabetes,Diabetes Medicines,related to
Diabetes,How to Prevent Diabetes,related to
Cukrzyca,Progresja cukrzycy,classifies
Dijabetes melitus,Progresija dijabetesa melitusa,classifies
Diabete mellito,Progressione di diabete mellito,classifies
Diabetes,Diabetic Nerve Problems,related to
Diabete mellito,Diabete mellito da trapianto,classifies
Cukrinis diabetas,Cukrinis diabetas po transplantacijos,classifies
Dijabetes melitus,Dijabetes melitus nakon transplantacije,classifies
Cukrzyca,Cukrzyca potransplantacyjna,classifies
Diabete mellito,Diabete riattivato,classifies
Dijabetes melitus,Reaktivacija dijabetesa,classifies
Cukrzyca,Reaktywacja cukrzycy,classifies
Diabete mellito,Diabete ingravescente,classifies
Cukrzyca,Pogorszenie cukrzycy,classifies
dm,endocrinologic,associated with
Diabetes,Endocrine Diseases,related to
Diabete,Diabete mellito,classified as
Diabete mellito,Diabete mellito,classified as
Diabete mellito,Diabete,classifies
Diabete mellito,Diabete mellito,classifies
Cukrzyca,Cukrzyca,classified as
Cukrzyca,Cukrzyca,classifies
Cukrzyca,Cukrzyca,classified as
Cukrzyca BNO,Cukrzyca,classified as
Cukrzyca,Cukrzyca,classifies
Cukrinis diabetas,Cukrinis diabetas,classifies
Cukrinis diabetas,Diabetas,classifies
Cukrinis diabetas,Cukrinis diabetas,classified as
"Cukrinis diabetas, kitaip nenurodyta",Cukrinis diabetas,classified as
Cukrinis diabetas,"Cukrinis diabetas, kitaip nenurodyta",classifies
"Dijabetes melitus, nespecificiran",Dijabetes melitus,classified as
Dijabetes melitus,Dijabetes,classifies
Diabetas,Cukrinis diabetas,classified as
Cukrzyca,Cukrzyca BNO,classifies
Dijabetes melitus,"Dijabetes melitus, nespecificiran",classifies
Dijabetes,Dijabetes melitus,classified as
Dijabetes melitus,Dijabetes melitus,classifies
Dijabetes melitus,Dijabetes melitus,classified as
dm,jodm,associated with
dm,iddm,associated with
dm,aodm,associated with
dm,niddm,associated with
Diabetes,Diabetic Diet,related to
Diabetes,Blood Glucose,related to
Diabetes,Prediabetes,related to
Central retinal artery occlusion,History of occlusion of central retinal artery,associated finding of
Central retinal artery occlusion,Retinal detachments; defects; vascular occlusion; and retinopathy,classified as
Central retinal artery occlusion,Other retinal disorders,classified as
Central retinal artery occlusion,Structure of central retinal artery,has finding site
Occlusione dell'arteria centrale della retina,Occlusione dell'arteria retinica,classified as
Central retinal artery occlusion,Retinal artery occlusion,classified as
